seq_id	source_tag	primary_tag	start	end	score	strand	frame	ID	Parent	locus	Name	description	old_ID	Loci	locus_tag
CP003827.1	DiversityPipeline	gene	505242	508279	.	-1	.	CNAG_03258		CNAG_03258	TPK202a	AGC protein kinase, variant 2	CNAG_03258	Centromeres	CNAG_03258
CP003831.1	DiversityPipeline	gene	136640	139632	.	1	.	CNAG_06036		CNAG_06036		hypothetical protein	CNAG_06036	Centromeres	CNAG_06036
CP003831.1	DiversityPipeline	gene	170630	171956	.	-1	.	CNAG_06048		CNAG_06048		hypothetical protein	CNAG_06048	Centromeres	CNAG_06048
CP003832.1	DiversityPipeline	gene	576241	579771	.	1	.	CNAG_06475		CNAG_06475		hypothetical protein	CNAG_06475	Centromeres	CNAG_06475
CP003832.1	DiversityPipeline	gene	632168	634487	.	-1	.	CNAG_06482		CNAG_06482		Amidase	CNAG_06482	Centromeres	CNAG_06482
CP003826.1	DiversityPipeline	gene	523551	525713	.	1	.	CNAG_06699		CNAG_06699	GPD1	glyceraldehyde-3-phosphate dehydrogenase	CNAG_06699	Centromeres	CNAG_06699
CP003826.1	DiversityPipeline	gene	570803	572979	.	-1	.	CNAG_05671		CNAG_05671		oxidation resistance protein 1	CNAG_05671	Centromeres	CNAG_05671
CP003828.1	DiversityPipeline	gene	800105	801829	.	1	.	CNAG_04417		CNAG_04417		alpha-ketoglutarate-dependent 2,4- dichlorophenoxyacetate dioxygenase	CNAG_04417	Centromeres	CNAG_04417
CP003828.1	DiversityPipeline	gene	840436	852361	.	-1	.	CNAG_07769		CNAG_07769	TOM1	E3 ubiquitin-protein ligase HUWE1	CNAG_07769	Centromeres	CNAG_07769
CP003822.1	DiversityPipeline	gene	1371530	1378287	.	1	.	CNAG_07972		CNAG_07972		hypothetical protein	CNAG_07972	Centromeres	CNAG_07972
CP003822.1	DiversityPipeline	gene	1409633	1410891	.	-1	.	CNAG_06879		CNAG_06879		hypothetical protein	CNAG_06879	Centromeres	CNAG_06879
CP003821.1	DiversityPipeline	ncRNA_gene	273146	276115	.	-1	.	CNAG_10500		CNAG_10500		unspecified product	CNAG_10500	rRNA	CNAG_10500
CP003821.1	DiversityPipeline	ncRNA_gene	276333	276482	.	-1	.	CNAG_10501		CNAG_10501		unspecified product	CNAG_10501	rRNA	CNAG_10501
CP003821.1	DiversityPipeline	ncRNA_gene	276609	278409	.	-1	.	CNAG_10502		CNAG_10502		unspecified product	CNAG_10502	rRNA	CNAG_10502
CP003821.1	DiversityPipeline	ncRNA_gene	279497	279607	.	-1	.	CNAG_10503		CNAG_10503		unspecified product	CNAG_10503	rRNA	CNAG_10503
CP003821.1	DiversityPipeline	gene	832161	835383	.	1	.	CNAG_03796		CNAG_03796	ENV7	NAK protein kinase	CNAG_03796	Centromeres	CNAG_03796
CP003821.1	DiversityPipeline	gene	892714	894965	.	-1	.	CNAG_03805		CNAG_03805		calcium/proton exchanger	CNAG_03805	Centromeres	CNAG_03805
CP003829.1	DiversityPipeline	gene	196927	199433	.	-1	.	CNAG_04857		CNAG_04857		hypothetical protein	CNAG_04857	Centromeres	CNAG_04857
CP003829.1	DiversityPipeline	gene	230150	232591	.	-1	.	CNAG_04855		CNAG_04855		hypothetical protein	CNAG_04855	Centromeres	CNAG_04855
CP003833.2	DiversityPipeline	gene	437784	441844	.	1	.	CNAG_05486		CNAG_05486		hypothetical protein	CNAG_05486	Centromeres	CNAG_05486
CP003833.2	DiversityPipeline	gene	477987	480641	.	-1	.	CNAG_05496		CNAG_05496		2-isopropylmalate synthase	CNAG_05496	Centromeres	CNAG_05496
