Accession	Coverage	Count_Good	Count_Raw
CP047907.1	104	4644	4644
CP047908.1	104	3862	3862
CP047909.1	104	3858	3858
CP047910.1	104	3724	3724
CP047911.1	104	3009	3009
CP047912.1	104	4883	4883
CP047913.1	104	2508	2508
CP047914.1	104	1994	1994
CP047915.1	104	1656	1656
CP047902.1	105	9928	9928
CP047903.1	105	7812	7812
CP047904.1	105	5716	5716
CP047905.1	105	4189	4189
CP047906.1	105	7165	7165
CP047907.1	105	5263	5263
CP047908.1	105	4349	4349
CP047909.1	105	4462	4462
CP047910.1	105	4250	4250
CP047911.1	105	3431	3431
CP047912.1	105	5819	5819
CP047913.1	105	2743	2743
CP047914.1	105	2278	2278
CP047915.1	105	1795	1795
CP047902.1	106	11027	11027
CP047903.1	106	8707	8707
CP047904.1	106	6554	6554
CP047905.1	106	4591	4591
CP047906.1	106	7995	7995
CP047907.1	106	5908	5908
CP047908.1	106	4893	4893
CP047909.1	106	5044	5044
CP047910.1	106	4826	4826
CP047911.1	106	3954	3954
CP047912.1	106	6415	6415
CP047913.1	106	3025	3025
CP047914.1	106	2543	2543
CP047915.1	106	2127	2127
CP047902.1	107	12433	12433
CP047903.1	107	9604	9604
CP047904.1	107	7360	7360
CP047905.1	107	5252	5252
CP047906.1	107	8615	8615
CP047907.1	107	6542	6542
CP047908.1	107	5395	5395
CP047909.1	107	5557	5557
CP047910.1	107	5654	5654
CP047911.1	107	4290	4290
CP047912.1	107	7275	7275
CP047913.1	107	3382	3382
CP047914.1	107	2830	2830
CP047915.1	107	2321	2321
CP047902.1	108	13858	13858
CP047903.1	108	10928	10928
CP047904.1	108	8277	8277
CP047905.1	108	6080	6080
CP047906.1	108	9793	9793
CP047907.1	108	7196	7196
CP047908.1	108	6039	6039
CP047909.1	108	6549	6549
CP047910.1	108	6422	6422
CP047911.1	108	4658	4658
CP047912.1	108	8253	8253
CP047913.1	108	3742	3742
CP047914.1	108	3147	3147
CP047915.1	108	2644	2644
CP047902.1	109	15467	15467
CP047903.1	109	12168	12168
CP047904.1	109	9298	9298
CP047905.1	109	6742	6742
CP047906.1	109	10968	10968
CP047907.1	109	8377	8377
CP047908.1	109	6968	6968
CP047909.1	109	7100	7100
CP047910.1	109	7220	7220
CP047911.1	109	5422	5422
CP047912.1	109	9286	9286
CP047913.1	109	4171	4171
CP047914.1	109	3567	3567
CP047915.1	109	2998	2998
CP047902.1	11	351	351
CP047903.1	11	339	339
CP047904.1	11	490	490
CP047905.1	11	622	622
CP047906.1	11	189	189
CP047907.1	11	364	364
CP047908.1	11	693	693
CP047909.1	11	273	273
CP047910.1	11	214	214
CP047911.1	11	301	301
CP047912.1	11	275	275
CP047913.1	11	119	119
CP047914.1	11	196	196
CP047915.1	11	536	536
CP047902.1	110	17076	17076
CP047903.1	110	13695	13695
CP047904.1	110	10332	10332
CP047905.1	110	7179	7179
CP047906.1	110	12153	12153
CP047907.1	110	9365	9365
CP047908.1	110	7793	7793
CP047909.1	110	8179	8179
CP047910.1	110	7869	7869
CP047911.1	110	6088	6088
CP047912.1	110	10349	10349
CP047913.1	110	4689	4689
CP047914.1	110	4258	4258
CP047915.1	110	3407	3407
CP047902.1	111	18549	18549
CP047903.1	111	15147	15147
CP047904.1	111	11598	11598
CP047905.1	111	7770	7770
CP047906.1	111	13758	13758
CP047907.1	111	10404	10404
CP047908.1	111	8697	8697
CP047909.1	111	9133	9133
CP047910.1	111	8839	8839
CP047911.1	111	6795	6795
CP047912.1	111	11387	11387
CP047913.1	111	5239	5239
CP047914.1	111	4701	4701
CP047915.1	111	3706	3706
CP047902.1	112	20508	20508
CP047903.1	112	16492	16492
CP047904.1	112	12814	12814
CP047905.1	112	8661	8661
CP047906.1	112	14880	14880
CP047907.1	112	11459	11459
CP047908.1	112	9554	9554
CP047909.1	112	10140	10140
CP047910.1	112	9625	9625
CP047911.1	112	7375	7375
CP047912.1	112	12711	12711
CP047913.1	112	5788	5788
CP047914.1	112	4821	4821
CP047915.1	112	4115	4115
CP047902.1	113	22908	22908
CP047903.1	113	18187	18187
CP047904.1	113	13857	13857
CP047905.1	113	9620	9620
CP047906.1	113	16423	16423
CP047907.1	113	12710	12710
CP047908.1	113	10364	10364
CP047909.1	113	11133	11133
CP047910.1	113	10849	10849
CP047911.1	113	8161	8161
CP047912.1	113	13997	13997
CP047913.1	113	6265	6265
CP047914.1	113	5573	5573
CP047915.1	113	4449	4449
CP047902.1	114	25053	25053
CP047903.1	114	19890	19890
CP047904.1	114	15224	15224
CP047905.1	114	10190	10190
CP047906.1	114	17688	17688
CP047907.1	114	14324	14324
CP047908.1	114	11705	11705
CP047909.1	114	12249	12249
CP047910.1	114	11479	11479
CP047911.1	114	9246	9246
CP047912.1	114	15525	15525
CP047913.1	114	6923	6923
CP047914.1	114	6258	6258
CP047915.1	114	5079	5079
CP047902.1	115	27258	27258
CP047903.1	115	21243	21243
CP047904.1	115	16628	16628
CP047905.1	115	11215	11215
CP047906.1	115	19646	19646
CP047907.1	115	15558	15558
CP047908.1	115	12751	12751
CP047909.1	115	13580	13580
CP047910.1	115	12770	12770
CP047911.1	115	10313	10313
CP047912.1	115	17140	17140
CP047913.1	115	7489	7489
CP047914.1	115	6760	6760
CP047915.1	115	5257	5257
CP047902.1	116	28903	28903
CP047903.1	116	22722	22722
CP047904.1	116	18097	18097
CP047905.1	116	12257	12257
CP047906.1	116	21269	21269
CP047907.1	116	16942	16942
CP047908.1	116	13848	13848
CP047909.1	116	14702	14702
CP047910.1	116	13839	13839
CP047911.1	116	11094	11094
CP047912.1	116	18047	18047
CP047913.1	116	8488	8488
CP047914.1	116	7109	7109
CP047915.1	116	5712	5712
CP047902.1	117	31342	31342
CP047903.1	117	25225	25225
CP047904.1	117	19674	19674
CP047905.1	117	13092	13092
CP047906.1	117	22983	22983
CP047907.1	117	18099	18099
CP047908.1	117	15296	15296
CP047909.1	117	16097	16097
CP047910.1	117	15018	15018
CP047911.1	117	12418	12418
CP047912.1	117	19805	19805
CP047913.1	117	9373	9373
CP047914.1	117	7898	7898
CP047915.1	117	6296	6296
CP047902.1	118	33313	33313
CP047903.1	118	26463	26463
CP047904.1	118	21017	21017
CP047905.1	118	14139	14139
CP047906.1	118	24498	24498
CP047907.1	118	19812	19812
CP047908.1	118	16793	16793
CP047909.1	118	17135	17135
CP047910.1	118	15971	15971
CP047911.1	118	13223	13223
CP047912.1	118	21320	21320
CP047913.1	118	10139	10139
CP047914.1	118	8270	8270
CP047915.1	118	6805	6805
CP047902.1	119	35836	35836
CP047903.1	119	28077	28077
CP047904.1	119	22891	22891
CP047905.1	119	14640	14640
CP047906.1	119	26833	26833
CP047907.1	119	21177	21177
CP047908.1	119	18229	18229
CP047909.1	119	18842	18842
CP047910.1	119	17052	17052
CP047911.1	119	14556	14556
CP047912.1	119	22284	22284
CP047913.1	119	10841	10841
CP047914.1	119	8899	8899
CP047915.1	119	7539	7539
CP047902.1	12	386	386
CP047903.1	12	302	302
CP047904.1	12	311	311
CP047905.1	12	429	429
CP047906.1	12	136	136
CP047907.1	12	302	302
CP047908.1	12	608	608
CP047909.1	12	328	328
CP047910.1	12	267	267
CP047911.1	12	205	205
CP047912.1	12	371	371
CP047913.1	12	89	89
CP047914.1	12	258	258
CP047915.1	12	551	551
CP047902.1	120	37591	37591
CP047903.1	120	29799	29799
CP047904.1	120	24863	24863
CP047905.1	120	15822	15822
CP047906.1	120	28560	28560
CP047907.1	120	22583	22583
CP047908.1	120	19515	19515
CP047909.1	120	20133	20133
CP047910.1	120	18406	18406
CP047911.1	120	15517	15517
CP047912.1	120	23369	23369
CP047913.1	120	11233	11233
CP047914.1	120	9370	9370
CP047915.1	120	8305	8305
CP047902.1	121	40044	40044
CP047903.1	121	30848	30848
CP047904.1	121	26385	26385
CP047905.1	121	16601	16601
CP047906.1	121	29868	29868
CP047907.1	121	23839	23839
CP047908.1	121	20990	20990
CP047909.1	121	21310	21310
CP047910.1	121	19771	19771
CP047911.1	121	16737	16737
CP047912.1	121	24892	24892
CP047913.1	121	11860	11860
CP047914.1	121	9978	9978
CP047915.1	121	8861	8861
CP047902.1	122	41523	41523
CP047903.1	122	32685	32685
CP047904.1	122	27697	27697
CP047905.1	122	17816	17816
CP047906.1	122	32076	32076
CP047907.1	122	25350	25350
CP047908.1	122	22378	22378
CP047909.1	122	22975	22975
CP047910.1	122	21034	21034
CP047911.1	122	17806	17806
CP047912.1	122	26274	26274
CP047913.1	122	12560	12560
CP047914.1	122	10687	10687
CP047915.1	122	9623	9623
CP047902.1	123	43684	43684
CP047903.1	123	34065	34065
CP047904.1	123	29587	29587
CP047905.1	123	18892	18892
CP047906.1	123	33478	33478
CP047907.1	123	26555	26555
CP047908.1	123	24009	24009
CP047909.1	123	24797	24797
CP047910.1	123	22485	22485
CP047911.1	123	18921	18921
CP047912.1	123	27898	27898
CP047913.1	123	13368	13368
CP047914.1	123	11585	11585
CP047915.1	123	10062	10062
CP047902.1	124	45621	45621
CP047903.1	124	35265	35265
CP047904.1	124	30673	30673
CP047905.1	124	19575	19575
CP047906.1	124	34988	34988
CP047907.1	124	27772	27772
CP047908.1	124	25522	25522
CP047909.1	124	25806	25806
CP047910.1	124	23515	23515
CP047911.1	124	19486	19486
CP047912.1	124	29126	29126
CP047913.1	124	14123	14123
CP047914.1	124	12363	12363
CP047915.1	124	10526	10526
CP047902.1	125	47014	47014
CP047903.1	125	36179	36179
CP047904.1	125	32463	32463
CP047905.1	125	20965	20965
CP047906.1	125	35950	35950
CP047907.1	125	28450	28450
CP047908.1	125	26642	26642
CP047909.1	125	27098	27098
CP047910.1	125	24458	24458
CP047911.1	125	20565	20565
CP047912.1	125	29845	29845
CP047913.1	125	14638	14638
CP047914.1	125	12969	12969
CP047915.1	125	11183	11183
CP047902.1	126	48808	48808
CP047903.1	126	37750	37750
CP047904.1	126	33722	33722
CP047905.1	126	21848	21848
CP047906.1	126	37281	37281
CP047907.1	126	29592	29592
CP047908.1	126	28064	28064
CP047909.1	126	28258	28258
CP047910.1	126	25482	25482
CP047911.1	126	21595	21595
CP047912.1	126	31140	31140
CP047913.1	126	15595	15595
CP047914.1	126	13324	13324
CP047915.1	126	12035	12035
CP047902.1	127	50395	50395
CP047903.1	127	38673	38673
CP047904.1	127	35048	35048
CP047905.1	127	22846	22846
CP047906.1	127	38454	38454
CP047907.1	127	30909	30909
CP047908.1	127	29042	29042
CP047909.1	127	28895	28895
CP047910.1	127	26156	26156
CP047911.1	127	22466	22466
CP047912.1	127	32141	32141
CP047913.1	127	16149	16149
CP047914.1	127	13860	13860
CP047915.1	127	12411	12411
CP047902.1	128	51727	51727
CP047903.1	128	38760	38760
CP047904.1	128	36194	36194
CP047905.1	128	23375	23375
CP047906.1	128	39787	39787
CP047907.1	128	31746	31746
CP047908.1	128	30046	30046
CP047909.1	128	29595	29595
CP047910.1	128	26822	26822
CP047911.1	128	23312	23312
CP047912.1	128	32939	32939
CP047913.1	128	16942	16942
CP047914.1	128	14381	14381
CP047915.1	128	12678	12678
CP047902.1	129	52558	52558
CP047903.1	129	39435	39435
CP047904.1	129	37310	37310
CP047905.1	129	23804	23804
CP047906.1	129	40956	40956
CP047907.1	129	32636	32636
CP047908.1	129	30723	30723
CP047909.1	129	31008	31008
CP047910.1	129	27903	27903
CP047911.1	129	23773	23773
CP047912.1	129	33541	33541
CP047913.1	129	17118	17118
CP047914.1	129	14993	14993
CP047915.1	129	13180	13180
CP047902.1	13	377	377
CP047903.1	13	206	206
CP047904.1	13	324	324
CP047905.1	13	433	433
CP047906.1	13	145	145
CP047907.1	13	309	309
CP047908.1	13	593	593
CP047909.1	13	393	393
CP047910.1	13	291	291
CP047911.1	13	238	238
CP047912.1	13	351	351
CP047913.1	13	94	94
CP047914.1	13	251	251
CP047915.1	13	534	534
CP047902.1	130	53923	53923
CP047903.1	130	40075	40075
CP047904.1	130	38334	38334
CP047905.1	130	24538	24538
CP047906.1	130	41847	41847
CP047907.1	130	33019	33019
CP047908.1	130	31302	31302
CP047909.1	130	31483	31483
CP047910.1	130	28484	28484
CP047911.1	130	24393	24393
CP047912.1	130	34486	34486
CP047913.1	130	17762	17762
CP047914.1	130	15303	15303
CP047915.1	130	13722	13722
CP047902.1	131	54700	54700
CP047903.1	131	39884	39884
CP047904.1	131	38524	38524
CP047905.1	131	24751	24751
CP047906.1	131	42290	42290
CP047907.1	131	33633	33633
CP047908.1	131	32474	32474
CP047909.1	131	32124	32124
CP047910.1	131	28599	28599
CP047911.1	131	25285	25285
CP047912.1	131	35023	35023
CP047913.1	131	18096	18096
CP047914.1	131	15728	15728
CP047915.1	131	14398	14398
CP047902.1	132	56130	56130
CP047903.1	132	40301	40301
CP047904.1	132	39175	39175
CP047905.1	132	24706	24706
CP047906.1	132	43343	43343
CP047907.1	132	33982	33982
CP047908.1	132	32919	32919
CP047909.1	132	32823	32823
CP047910.1	132	28668	28668
CP047911.1	132	25921	25921
CP047912.1	132	36347	36347
CP047913.1	132	18015	18015
CP047914.1	132	15661	15661
CP047915.1	132	14953	14953
CP047902.1	133	55916	55916
CP047903.1	133	40227	40227
CP047904.1	133	38984	38984
CP047905.1	133	25327	25327
CP047906.1	133	44001	44001
CP047907.1	133	33642	33642
CP047908.1	133	32919	32919
CP047909.1	133	33602	33602
CP047910.1	133	28940	28940
CP047911.1	133	26252	26252
CP047912.1	133	36506	36506
CP047913.1	133	18477	18477
CP047914.1	133	15791	15791
CP047915.1	133	15100	15100
CP047902.1	134	56108	56108
CP047903.1	134	40108	40108
CP047904.1	134	38845	38845
CP047905.1	134	25226	25226
CP047906.1	134	43949	43949
CP047907.1	134	34241	34241
CP047908.1	134	33586	33586
CP047909.1	134	34196	34196
CP047910.1	134	28652	28652
CP047911.1	134	25968	25968
CP047912.1	134	36846	36846
CP047913.1	134	18802	18802
CP047914.1	134	16087	16087
CP047915.1	134	15281	15281
CP047902.1	135	56540	56540
CP047903.1	135	39836	39836
CP047904.1	135	39331	39331
CP047905.1	135	25156	25156
CP047906.1	135	44717	44717
CP047907.1	135	34862	34862
CP047908.1	135	33256	33256
CP047909.1	135	34477	34477
CP047910.1	135	28675	28675
CP047911.1	135	26410	26410
CP047912.1	135	37266	37266
CP047913.1	135	18968	18968
CP047914.1	135	16433	16433
CP047915.1	135	15220	15220
CP047902.1	136	55741	55741
CP047903.1	136	39324	39324
CP047904.1	136	38770	38770
CP047905.1	136	25093	25093
CP047906.1	136	45167	45167
CP047907.1	136	34662	34662
CP047908.1	136	33784	33784
CP047909.1	136	34163	34163
CP047910.1	136	28503	28503
CP047911.1	136	25767	25767
CP047912.1	136	37381	37381
CP047913.1	136	18860	18860
CP047914.1	136	16552	16552
CP047915.1	136	15311	15311
CP047902.1	137	55132	55132
CP047903.1	137	39032	39032
CP047904.1	137	38358	38358
CP047905.1	137	24932	24932
CP047906.1	137	44280	44280
CP047907.1	137	34526	34526
CP047908.1	137	33590	33590
CP047909.1	137	33966	33966
CP047910.1	137	28581	28581
CP047911.1	137	26108	26108
CP047912.1	137	37097	37097
CP047913.1	137	18602	18602
CP047914.1	137	16718	16718
CP047915.1	137	15348	15348
CP047902.1	138	54172	54172
CP047903.1	138	38236	38236
CP047904.1	138	37964	37964
CP047905.1	138	24885	24885
CP047906.1	138	43799	43799
CP047907.1	138	34259	34259
CP047908.1	138	33291	33291
CP047909.1	138	33924	33924
CP047910.1	138	28029	28029
CP047911.1	138	25995	25995
CP047912.1	138	36146	36146
CP047913.1	138	18562	18562
CP047914.1	138	16784	16784
CP047915.1	138	15474	15474
CP047902.1	139	53255	53255
CP047903.1	139	36936	36936
CP047904.1	139	37398	37398
CP047905.1	139	24506	24506
CP047906.1	139	43336	43336
CP047907.1	139	34135	34135
CP047908.1	139	32910	32910
CP047909.1	139	33246	33246
CP047910.1	139	26858	26858
CP047911.1	139	25747	25747
CP047912.1	139	35701	35701
CP047913.1	139	18214	18214
CP047914.1	139	16840	16840
CP047915.1	139	15200	15200
CP047902.1	14	365	365
CP047903.1	14	200	200
CP047904.1	14	282	282
CP047905.1	14	512	512
CP047906.1	14	157	157
CP047907.1	14	300	300
CP047908.1	14	494	494
CP047909.1	14	222	222
CP047910.1	14	263	263
CP047911.1	14	244	244
CP047912.1	14	442	442
CP047913.1	14	75	75
CP047914.1	14	307	307
CP047915.1	14	459	459
CP047902.1	140	52011	52011
CP047903.1	140	35273	35273
CP047904.1	140	36253	36253
CP047905.1	140	24102	24102
CP047906.1	140	42172	42172
CP047907.1	140	33785	33785
CP047908.1	140	32938	32938
CP047909.1	140	32115	32115
CP047910.1	140	26757	26757
CP047911.1	140	25436	25436
CP047912.1	140	34542	34542
CP047913.1	140	18102	18102
CP047914.1	140	16247	16247
CP047915.1	140	14892	14892
CP047902.1	141	50785	50785
CP047903.1	141	33596	33596
CP047904.1	141	35348	35348
CP047905.1	141	23467	23467
CP047906.1	141	40963	40963
CP047907.1	141	32587	32587
CP047908.1	141	31856	31856
CP047909.1	141	31619	31619
CP047910.1	141	25574	25574
CP047911.1	141	24676	24676
CP047912.1	141	33966	33966
CP047913.1	141	17657	17657
CP047914.1	141	16137	16137
CP047915.1	141	14746	14746
CP047902.1	142	48005	48005
CP047903.1	142	31754	31754
CP047904.1	142	34346	34346
CP047905.1	142	22845	22845
CP047906.1	142	40090	40090
CP047907.1	142	31708	31708
CP047908.1	142	31188	31188
CP047909.1	142	30837	30837
CP047910.1	142	24850	24850
CP047911.1	142	23711	23711
CP047912.1	142	32998	32998
CP047913.1	142	17056	17056
CP047914.1	142	15732	15732
CP047915.1	142	14530	14530
CP047902.1	143	46177	46177
CP047903.1	143	30169	30169
CP047904.1	143	32736	32736
CP047905.1	143	22101	22101
CP047906.1	143	38533	38533
CP047907.1	143	30453	30453
CP047908.1	143	30297	30297
CP047909.1	143	29727	29727
CP047910.1	143	23828	23828
CP047911.1	143	23258	23258
CP047912.1	143	31832	31832
CP047913.1	143	16169	16169
CP047914.1	143	15417	15417
CP047915.1	143	14301	14301
CP047902.1	144	44689	44689
CP047903.1	144	29396	29396
CP047904.1	144	31864	31864
CP047905.1	144	21366	21366
CP047906.1	144	38059	38059
CP047907.1	144	29380	29380
CP047908.1	144	29738	29738
CP047909.1	144	28590	28590
CP047910.1	144	23076	23076
CP047911.1	144	22067	22067
CP047912.1	144	30677	30677
CP047913.1	144	15786	15786
CP047914.1	144	15218	15218
CP047915.1	144	13610	13610
CP047902.1	145	42765	42765
CP047903.1	145	27591	27591
CP047904.1	145	30645	30645
CP047905.1	145	20831	20831
CP047906.1	145	36480	36480
CP047907.1	145	28739	28739
CP047908.1	145	28983	28983
CP047909.1	145	27538	27538
CP047910.1	145	22098	22098
CP047911.1	145	20784	20784
CP047912.1	145	29218	29218
CP047913.1	145	15334	15334
CP047914.1	145	15213	15213
CP047915.1	145	13842	13842
CP047902.1	146	40794	40794
CP047903.1	146	26265	26265
CP047904.1	146	29837	29837
CP047905.1	146	20126	20126
CP047906.1	146	34762	34762
CP047907.1	146	27249	27249
CP047908.1	146	27900	27900
CP047909.1	146	26233	26233
CP047910.1	146	20908	20908
CP047911.1	146	20171	20171
CP047912.1	146	27543	27543
CP047913.1	146	14745	14745
CP047914.1	146	14695	14695
CP047915.1	146	13231	13231
CP047902.1	147	38447	38447
CP047903.1	147	24671	24671
CP047904.1	147	28672	28672
CP047905.1	147	19356	19356
CP047906.1	147	32850	32850
CP047907.1	147	25462	25462
CP047908.1	147	26408	26408
CP047909.1	147	25324	25324
CP047910.1	147	20376	20376
CP047911.1	147	19121	19121
CP047912.1	147	26319	26319
CP047913.1	147	13808	13808
CP047914.1	147	14384	14384
CP047915.1	147	12539	12539
CP047902.1	148	36267	36267
CP047903.1	148	23258	23258
CP047904.1	148	27096	27096
CP047905.1	148	18523	18523
CP047906.1	148	31460	31460
CP047907.1	148	23958	23958
CP047908.1	148	25404	25404
CP047909.1	148	24296	24296
CP047910.1	148	19249	19249
CP047911.1	148	18137	18137
CP047912.1	148	24783	24783
CP047913.1	148	13113	13113
CP047914.1	148	13565	13565
CP047915.1	148	12218	12218
CP047902.1	149	34244	34244
CP047903.1	149	22138	22138
CP047904.1	149	25400	25400
CP047905.1	149	17606	17606
CP047906.1	149	29972	29972
CP047907.1	149	22829	22829
CP047908.1	149	23772	23772
CP047909.1	149	23006	23006
CP047910.1	149	18655	18655
CP047911.1	149	16991	16991
CP047912.1	149	23370	23370
CP047913.1	149	12454	12454
CP047914.1	149	12965	12965
CP047915.1	149	11518	11518
CP047902.1	15	331	331
CP047903.1	15	251	251
CP047904.1	15	288	288
CP047905.1	15	511	511
CP047906.1	15	183	183
CP047907.1	15	261	261
CP047908.1	15	685	685
CP047909.1	15	295	295
CP047910.1	15	229	229
CP047911.1	15	296	296
CP047912.1	15	296	296
CP047913.1	15	91	91
CP047914.1	15	207	207
CP047915.1	15	549	549
CP047902.1	150	32113	32113
CP047903.1	150	20678	20678
CP047904.1	150	23798	23798
CP047905.1	150	16784	16784
CP047906.1	150	28313	28313
CP047907.1	150	20857	20857
CP047908.1	150	22276	22276
CP047909.1	150	22465	22465
CP047910.1	150	17367	17367
CP047911.1	150	16069	16069
CP047912.1	150	22523	22523
CP047913.1	150	11596	11596
CP047914.1	150	12209	12209
CP047915.1	150	11424	11424
CP047902.1	151	30154	30154
CP047903.1	151	18932	18932
CP047904.1	151	22268	22268
CP047905.1	151	16000	16000
CP047906.1	151	26405	26405
CP047907.1	151	19975	19975
CP047908.1	151	21393	21393
CP047909.1	151	20702	20702
CP047910.1	151	15995	15995
CP047911.1	151	15053	15053
CP047912.1	151	20865	20865
CP047913.1	151	10885	10885
CP047914.1	151	11633	11633
CP047915.1	151	10705	10705
CP047902.1	152	28493	28493
CP047903.1	152	17454	17454
CP047904.1	152	20761	20761
CP047905.1	152	15229	15229
CP047906.1	152	24552	24552
CP047907.1	152	18901	18901
CP047908.1	152	19683	19683
CP047909.1	152	19950	19950
CP047910.1	152	15175	15175
CP047911.1	152	14094	14094
CP047912.1	152	19905	19905
CP047913.1	152	10158	10158
CP047914.1	152	11018	11018
CP047915.1	152	10165	10165
CP047902.1	153	26632	26632
CP047903.1	153	15982	15982
CP047904.1	153	19298	19298
CP047905.1	153	14203	14203
CP047906.1	153	22897	22897
CP047907.1	153	17445	17445
CP047908.1	153	18824	18824
CP047909.1	153	18413	18413
CP047910.1	153	14021	14021
CP047911.1	153	13283	13283
CP047912.1	153	18743	18743
CP047913.1	153	9753	9753
CP047914.1	153	10324	10324
CP047915.1	153	9746	9746
CP047902.1	154	24534	24534
CP047903.1	154	14809	14809
CP047904.1	154	18039	18039
CP047905.1	154	12792	12792
CP047906.1	154	20906	20906
CP047907.1	154	16361	16361
CP047908.1	154	17382	17382
CP047909.1	154	17074	17074
CP047910.1	154	13161	13161
CP047911.1	154	12320	12320
CP047912.1	154	17090	17090
CP047913.1	154	8914	8914
CP047914.1	154	9712	9712
CP047915.1	154	9115	9115
CP047902.1	155	22436	22436
CP047903.1	155	13440	13440
CP047904.1	155	16430	16430
CP047905.1	155	11855	11855
CP047906.1	155	19963	19963
CP047907.1	155	14977	14977
CP047908.1	155	16137	16137
CP047909.1	155	16120	16120
CP047910.1	155	12348	12348
CP047911.1	155	11742	11742
CP047912.1	155	15596	15596
CP047913.1	155	8460	8460
CP047914.1	155	9153	9153
CP047915.1	155	8564	8564
CP047902.1	156	20814	20814
CP047903.1	156	12386	12386
CP047904.1	156	15091	15091
CP047905.1	156	10902	10902
CP047906.1	156	18132	18132
CP047907.1	156	13644	13644
CP047908.1	156	15085	15085
CP047909.1	156	14845	14845
CP047910.1	156	11592	11592
CP047911.1	156	10842	10842
CP047912.1	156	14592	14592
CP047913.1	156	7802	7802
CP047914.1	156	8526	8526
CP047915.1	156	7832	7832
CP047902.1	157	19269	19269
CP047903.1	157	10986	10986
CP047904.1	157	14071	14071
CP047905.1	157	10288	10288
CP047906.1	157	16886	16886
CP047907.1	157	12712	12712
CP047908.1	157	14192	14192
CP047909.1	157	14319	14319
CP047910.1	157	10571	10571
CP047911.1	157	10152	10152
CP047912.1	157	13379	13379
CP047913.1	157	7164	7164
CP047914.1	157	8052	8052
CP047915.1	157	7676	7676
CP047902.1	158	17466	17466
CP047903.1	158	9954	9954
CP047904.1	158	13207	13207
CP047905.1	158	9491	9491
CP047906.1	158	15368	15368
CP047907.1	158	11517	11517
CP047908.1	158	13067	13067
CP047909.1	158	12751	12751
CP047910.1	158	9672	9672
CP047911.1	158	9495	9495
CP047912.1	158	12113	12113
CP047913.1	158	6452	6452
CP047914.1	158	7641	7641
CP047915.1	158	6962	6962
CP047902.1	159	16186	16186
CP047903.1	159	8997	8997
CP047904.1	159	12000	12000
CP047905.1	159	8690	8690
CP047906.1	159	14371	14371
CP047907.1	159	10809	10809
CP047908.1	159	12046	12046
CP047909.1	159	11671	11671
CP047910.1	159	8810	8810
CP047911.1	159	8810	8810
CP047912.1	159	11361	11361
CP047913.1	159	5930	5930
CP047914.1	159	7028	7028
CP047915.1	159	6371	6371
